"Back","Atpakaļ"
"Delete Location","Dzēst vietu"
"Are you sure you want to do this?","Vai esi pārliecināts, ka vēlies to darīt?"
"Save and Continue Edit","Saglabāt un turpināt labot"
"Save Location","Saglabāt vietu"
"Select DPD Delivery Time:","Izvēlies DPD piegādes laiku:"
"Select DPD Pickup Point:","Izvēlies DPD Pickup punktu:"
"Call DPD Courier","Izskaut DPD kurjeru"
"Are you sure you want to close DPD manifest?","Vai tiešām vēlies aizvērt DPD manifestu?"
"Close DPD Manifest","Aizvērt DPD Manifestu"
"Pickup Point","Pickup punkts"
"Delivery Time","Piegādes laiks"
"Add","Pievienot"
"Country","Valsts"
"Price","Cena"
"Only AJAX calls are permitted","Tikai AJAX vaicājumi ir atļauti"
"DPD Courier called successfully.","DPD kurjers izsaukts veiksmīgi"
"Shipment ID is not specified","Sūtījuma ID nav norādīts"
"DPD Parcels were successfully canceled","DPD pakas tika veiksmīgi atceltas"
"Collection Request called successfully.","Paņemšanas pieprasījums veiksmīgi izveidots."
"AdeoWeb","AdeoWeb"
"Location","Vieta"
"We can't find a location to delete.","Netika atrasta vieta ko dzēst."
"You deleted the location.","Jūs izdzēsāt vietu."
"Edit Location","Labot vietu"
"New Location","Jauna vieta"
"Locations","Vietas"
"Edit Location %1","Labot vietu %1"
"DPD Locations","DPD vietas"
"Please correct the data sent.","Lūdzu, izlabojiet sūtītos datus."
"A total of %1 record(s) have been deleted.","%1 ieraksts(i) tika dzēsts(i)."
"You saved the location.","Jūs saglabājāt vietu."
"Something went wrong while saving the location.","Saglabājot vietu radās kļūda."
"DPD - Classic","DPD B2C - piegāde ar kurjeru"
"DPD - Pickup","DPD Pickup pakalpojums"
"DPD - Saturday","DPD Sestdiena"
"Parameter %1 is missing from subject","Trūkst parametrs %1"
"Invalid pickup time value","Nepareiza paņemšanas laika vērtība"
"Incorrect pickup time","Nepareizs paņemšanas laiks"
"No packages for request","Pieprasījumam nav paku"
"DPD Carrier method %1 does not exist","DPD kurjera metode %1 neeksistē"
"Please select DPD pickup point.","Lūdzu, izvēlietie DPD Pickup punktu."
"No new shipments were created.","Jauni sūtījumi netika izveidoti."
"Location is not specified","Vieta nav norādīta"
"--Select a Warehouse--","--Izvēlieties noliktavu--"
