"Back","Tagasi"
"Delete Location","Kustuta Asukoht"
"Are you sure you want to do this?","Oled sa kindel, et soovid jätkata?"
"Save and Continue Edit","Salvesta ja jätka Muutmist"
"Save Location","Salvesta Asukoht"
"Select DPD Delivery Time:","Vali DPD Toimetusaeg:"
"Select DPD Pickup Point:","Vali DPD pakiautomaat:"
"Call DPD Courier","Kutsu DPD kuller"
"Are you sure you want to close DPD manifest?","Oled sa kindel, et soovid sulgeda DPD manifesti?"
"Close DPD Manifest","Sulge DPD manifest"
"Pickup Point","Pakiautomaat"
"Delivery Time","Toimetusaeg"
"Add","Lisa"
"Country","Riik"
"Price","Hind"
"Only AJAX calls are permitted","Ainult AJAX päringud on lubatud"
"DPD Courier called successfully.","DPD kuller edukalt kutsutud."
"Shipment ID is not specified","Tellimuse ID pole täpsustatud"
"DPD Parcels were successfully canceled","DPD pakid edukalt tühistatud"
"Collection Request called successfully.","Korjetellimus edukalt tellitud."
"AdeoWeb","AdeoWeb"
"Location","Asukoht"
"We can't find a location to delete.","Me ei leia asukohta, mida kustutada."
"You deleted the location.","Sa kustutasid asukoha."
"Edit Location","Muuda Asukoht"
"New Location","Uus Asukoht"
"Locations","Auskohad"
"Edit Location %1","Muuda Asukoht %1"
"DPD Locations","DPD Asukohad"
"Please correct the data sent.","Palun korrasta saadetud andmed."
"A total of %1 record(s) have been deleted.","%1 kirje(t) on kustutatud."
"You saved the location.","Sa salvestasid asukoha."
"Something went wrong while saving the location.","Asukoha salvestamisel läks midagi valesti."
"DPD - Classic","DPD - kullerteenus"
"DPD - Pickup","DPD - pakiautomaat"
"DPD - Saturday","DPD - laupäeva tarne"
"Parameter %1 is missing from subject","Parameeter %1on subjektil puudu"
"Invalid pickup time value","Vigane korjeaja valik"
"Incorrect pickup time","Vale korjeaeg"
"No packages for request","Pole pakke päringu jaoks"
"DPD Carrier method %1 does not exist","DPD tarneviis %1 ei eksisteeri"
"Please select DPD pickup point.","Palun vali DPD pakiautomaat."
"No new shipments were created.","Uusi saadetisi ei loodud."
"Location is not specified","Asukoht on täpsustamata"
"--Select a Warehouse--","--Vali Ladu--"
